Date,Price,Open,High,Low,Volume,Change
06/13/2021,1144.15,1150.25,1151.9,1143.5,,-0.94
06/11/2021,1155.0,1156.0,1164.5,1149.0,2.26K,0.43
06/10/2021,1150.1,1155.4,1159.0,1131.4,3.52K,-0.48
06/09/2021,1155.7,1165.8,1170.0,1153.3,2.45K,-0.92
06/08/2021,1166.4,1178.8,1183.0,1160.0,2.56K,-1.05
06/07/2021,1178.8,1172.3,1181.3,1164.6,2.20K,0.7
06/06/2021,1170.6,1165.4,1171.3,1165.4,,0.18
06/04/2021,1168.5,1164.4,1172.2,1146.7,2.26K,0.16
06/03/2021,1166.6,1198.8,1201.1,1153.5,2.87K,-2.52
06/02/2021,1196.7,1200.4,1201.5,1185.0,2.61K,-0.59
06/01/2021,1203.8,1188.2,1214.2,1181.0,1.08K,0.87
05/31/2021,1193.4,1187.4,1193.9,1183.65,,0.5
05/30/2021,1187.45,1184.7,1187.9,1183.6,,0.07
05/28/2021,1186.6,1185.0,1191.0,1175.0,0.85K,0.27
05/27/2021,1183.4,1200.0,1204.9,1175.9,1.81K,-1.51
05/26/2021,1201.6,1198.4,1217.25,1191.7,,0.05
05/25/2021,1201.0,1175.0,1203.2,1173.0,1.58K,1.64
05/24/2021,1181.6,1171.0,1187.0,1165.9,1.26K,0.6
05/23/2021,1174.6,1169.95,1177.3,1166.85,,0.1
05/21/2021,1173.4,1203.8,1210.3,1171.4,1.48K,-2.9
05/20/2021,1208.5,1199.9,1213.5,1199.9,0.10K,0.29
05/19/2021,1205.0,1225.0,1227.5,1189.7,0.35K,-1.93
05/18/2021,1228.7,1248.5,1255.8,1219.0,0.35K,-1.54
05/17/2021,1247.9,1238.4,1250.4,1233.5,0.23K,1.34
05/16/2021,1231.4,1227.8,1235.4,1227.8,,0.43
05/14/2021,1226.1,1219.7,1239.0,1219.7,0.11K,1.36
05/13/2021,1209.7,1220.0,1225.5,1203.6,0.46K,-1.59
05/12/2021,1229.2,1243.2,1251.0,1216.9,0.39K,-1.25
05/11/2021,1244.8,1253.0,1258.2,1220.0,0.48K,-1.91
05/10/2021,1269.0,1257.6,1281.2,1255.2,0.23K,0.61
05/09/2021,1261.25,1252.6,1263.0,1252.6,,0.27
05/07/2021,1257.9,1259.0,1276.4,1245.0,0.35K,-0.24
05/06/2021,1260.9,1228.2,1261.2,1225.0,0.20K,2.32
05/05/2021,1232.3,1240.0,1248.2,1219.0,0.20K,-0.24
05/04/2021,1235.3,1238.6,1275.0,1225.0,0.36K,0.14
05/03/2021,1233.6,1207.0,1250.9,1199.0,0.14K,2.53
05/02/2021,1203.2,1203.6,1204.5,1200.0,,-0.46
04/30/2021,1208.7,1210.1,1229.3,1202.6,0.27K,0.63
04/29/2021,1201.1,1226.1,1231.6,1180.0,0.15K,-0.92
04/28/2021,1212.2,1235.8,1235.8,1207.5,14.60K,-2.99
04/27/2021,1249.5,1248.3,1261.8,1232.3,12.52K,0.35
04/26/2021,1245.2,1233.8,1253.8,1230.5,11.19K,0.74
04/25/2021,1236.0,1234.7,1238.0,1233.15,,0.24
04/23/2021,1233.1,1208.5,1256.7,1204.5,19.04K,2.04
04/22/2021,1208.5,1217.0,1221.9,1200.3,10.38K,-0.51
04/21/2021,1214.7,1189.0,1223.3,1186.3,14.03K,1.54
04/20/2021,1196.3,1212.4,1214.5,1185.1,13.35K,-0.85
04/19/2021,1206.5,1207.4,1231.9,1202.3,10.73K,0.1
04/18/2021,1205.35,1206.7,1207.5,1203.9,,-0.28
04/16/2021,1208.7,1199.6,1212.9,1192.3,8.82K,0.71
04/15/2021,1200.2,1174.0,1207.2,1172.6,12.56K,1.94
04/14/2021,1177.4,1159.4,1188.0,1158.1,13.95K,1.75
04/13/2021,1157.1,1174.8,1186.4,1155.6,19.64K,-1.51
04/12/2021,1174.8,1208.3,1209.4,1168.9,12.97K,-2.7
04/11/2021,1207.4,1205.75,1208.5,1202.8,,-0.16
04/09/2021,1209.3,1236.1,1237.5,1193.2,13.57K,-2.11
04/08/2021,1235.4,1234.4,1243.7,1222.1,8.23K,0.28
04/07/2021,1231.9,1245.7,1252.5,1226.4,12.65K,-0.69
04/06/2021,1240.5,1215.8,1248.7,1202.8,12.52K,2.54
04/05/2021,1209.8,1216.9,1225.0,1196.5,7.01K,-0.91
04/04/2021,1220.9,1214.25,1224.9,1214.0,,1.02
04/01/2021,1208.6,1191.4,1217.5,1176.6,,1.44
03/31/2021,1191.5,1159.5,1198.3,1159.1,11.56K,2.66
03/30/2021,1160.6,1180.4,1189.9,1156.2,14.98K,-1.93
03/29/2021,1183.4,1190.55,1205.5,1166.6,,-0.6
03/28/2021,1190.5,1195.3,1195.3,1188.6,,0.74
03/26/2021,1181.7,1156.1,1194.9,1154.2,11.46K,2.0
03/25/2021,1158.5,1177.6,1188.4,1148.5,14.91K,-2.22
03/24/2021,1184.8,1172.8,1194.5,1166.0,9.58K,0.51
03/23/2021,1178.8,1191.0,1200.4,1172.5,6.31K,-0.78
03/22/2021,1188.1,1200.6,1200.6,1167.7,7.41K,0.01
03/21/2021,1188.0,1197.45,1198.7,1186.7,,-1.34
03/19/2021,1204.1,1215.5,1218.7,1175.9,3.78K,-1.43
03/18/2021,1221.6,1219.1,1237.7,1211.3,3.92K,1.5
03/17/2021,1203.6,1220.1,1225.3,1193.0,3.41K,-1.62
03/16/2021,1223.4,1224.5,1244.0,1210.4,4.69K,0.78
03/15/2021,1213.9,1211.9,1228.4,1206.0,2.49K,0.59
03/14/2021,1206.8,1206.6,1219.9,1204.6,,0.2
03/12/2021,1204.4,1207.0,1219.0,1176.2,2.59K,-0.22
03/11/2021,1207.0,1213.5,1236.1,1200.4,3.49K,0.03
03/10/2021,1206.6,1180.7,1213.2,1160.0,2.73K,2.25
03/09/2021,1180.0,1145.7,1186.3,1141.5,2.64K,2.02
03/08/2021,1156.6,1137.6,1161.4,1124.4,3.55K,1.24
03/07/2021,1142.45,1131.3,1142.55,1129.0,,0.84
